"DistrictName","EstablishmentCode","EstablishmentName","BRCName","CRCName","SchoolLevel","ManagementName","LocalityHabitation","SubdivisionName","ConstituencyName","RevenueBlockName","CivicBodyName","WardName","PostOfficeName","PhoneNo","FaxNo","EmailID","Website","LocatedInRuralOrUrban","DiseCode","EstablishedDate","DistrictHQDistance (in Km)","CRCDistance (in Km)","BACDistance (in Km)","IsRecognized","RecognizedBy","ContactPersonName","LowestClass","HighestClass","BoardName"
"East","S0873","SUNRISE ACADEMY, DUGA","Duga Brc","Central Pendam Government Senior Secondary School","JHS","Private (Unaided)","CENTRAL/ WESTPENDAM (DUGA)","Gangtok","West Pandam","Gangtok","Central Pendam","Duga","Duga","9593787437","NA","NA","NA","Urban Area","NA","34001.66805555556","47","0","1","Recognized","HRDD","NA","Class 1","Class 8","NA"
"East","S0120","SYAPLAY SARDARAY GOVERNMENT SECONDARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","SS","State Govt.","SYAPLAY SARDARAY","Gangtok","West Pandam","West Pendam","West Pendam","Syapley","West Pendam","9474981238","NA","NA","NA","Urban Area","802101","27760","40","0","6","Recognized","State Govt.","NA","Class 1","Class 10","C.B.S.E."
"East","S0131","UPPER PACHAK GOVERNMENT PRIMARY SCHOOL","Duga Brc","Central Pendam Government Senior Secondary School","PS","State Govt.","UPPER PACHAK","Gangtok","Rhenock","Central Pendam","Budang Kamerey","Upper pachak","East Pendam","9832362770","NA","kenzongbhutia@gmail.com","NA","Urban Area","NA","36161","69","11","9","Recognized","HRDD","NA","Class 1","Class 5","NA"
"East","S0509","BORDANG GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Rangpo Government Secondary School","JHS","State Govt.","BORDANG","Gangtok","West Pandam","West Pendam","West Pendam","Sawney","Bardang","9434144108","NA","NA","NA","Urban Area","11040802801","27760","33","2.5","18","Recognized","State Govrenment","NA","Class 1","Class 8","C.B.S.E."
"East","S0872","DIVYA JYOTI SCHOOL, MAJITAR","Duga Brc","Rangpo Government Secondary School","JHS","Private (Unaided)","MAJHITAR","Gangtok","West Pandam","West Pendam","Rangpo Nagar Panchayat","Majhitar","Majhitar","3592246065","NA","NA","NA","Rural Area","NA","38353.66805555556","36","3","19","Recognized","HRDD","NA","Class 1","Class 8","NA"
"East","S1251","EDEN GARDEN SCHOOL, BORDANG BUSTY","Duga Brc","Rangpo Government Secondary School","JHS","Private (Unaided)","BORDANG BUSTY","Gangtok","West Pandam","Rangpo Nta And Rangpo Forest Block","West Pendam","Singleybong","Bardang","9593971620","NA","NA","NA","Urban Area","NA","39448.59861111111","32","0","0","Recognized","STATE GOVERNMENT OF SIKKIM","NA","Class 1","Class 8","C.B.S.E."
"East","S0245","KAMERAY GOVERNMENT PRIMARY SCHOOL (E)","Duga Brc","Rangpo Government Secondary School","PS","State Govt.","EAST PENDAM","Pakyong","Rhenock","Taza","Pacheykhani","Tshalamthang Dugalakha","Pacheykhani","9474649834","NA","NA","NA","Urban Area","NA","27395","52","12","6.5","Recognized","State Government","NA","Class 1","Class 5","C.B.S.E."
"East","S0151","KUMREK GOVERNMENT PRIMARY SCHOOL","Duga Brc","Rangpo Government Secondary School","PS","State Govt.","KUMREK","Gangtok","West Pandam","Central Pendam","Central Pendam","Deorali","Rongpo","NA","NA","NA","NA","Urban Area","NA","28126","40","5","11","Recognized","State Govt.","NA","Class 1","Class 5","NA"
"East","S0865","LITTLE BELLS SCHOOL, RANGPO","Duga Brc","Rangpo Government Secondary School","JHS","Private (Unaided)","RANGPO (IBM)","Gangtok","West Pandam","Rangpo Nta And Rangpo Forest Block","Rangpo Nagar Panchayat","Rangpo Upper Bazaar","Rongpo","3592240873","NA","NA","NA","Rural Area","NA","30728.66805555555","40","1.5","7","Recognized","HRDD DEPTT. OF GOVT. OF SIKKIM","NA","Class 1","Class 8","NA"
"East","S0133","MAJHITAR GOVERNMENT SECONDARY SCHOOL","Duga Brc","Rangpo Government Secondary School","SS","State Govt.","MAJHITAR","Gangtok","West Pandam","Central Pendam","Rangpo Nagar Panchayat","Majhitar","Majhitar","NA","NA","NA","NA","Rural Area","800701","27030","37","2","11","Recognized","State Govt","NA","Class 1","Class 10","C.B.S.E."
"East","S1384","NEW HORIZON ACADEMY","Duga Brc","Rangpo Government Secondary School","PS","Private (Unaided)","I.B.M","Gangtok","West Pandam","Central Pendam","Rangpo Nagar Panchayat","Mining","Rongpo","9474358003","NA","NA","NA","Rural Area","NA","39814.72083333333","46","2","8","Recognized","HRDD GOVT. OF SIKKIM","NA","Class 1","Class 5","NA"
"East","S0864","NEW VISION ACADEMY, MAJHITAR","Duga Brc","Rangpo Government Secondary School","JHS","Private (Unaided)","KHANIKHOLA, MAJHITAR","Gangtok","West Pandam","Rangpo Nta And Rangpo Forest Block","Rangpo Nagar Panchayat","Rangpo Upper Bazaar","Majhitar","9679888300","NA","NA","NA","Rural Area","NA","39083.66805555556","35","13","13","Not Recognized","NA","NA","Class 1","Class 8","C.B.S.E."
"East","S0242","RANGPO BAZAR GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Rangpo Government Secondary School","JHS","State Govt.","OPPOSITE SIKKIM DISTILLARIES LTD.","Gangtok","West Pandam","Central Pendam","Rangpo Nagar Panchayat","Rangpo Upper Bazaar","Rongpo","NA","NA","NA","NA","Rural Area","NA","16438","47","1","6","Recognized","State Government","NA","Class 1","Class 8","C.B.S.E."
"East","S0198","RANGPO GOVERNMENT SENIOR SECONDARY SCHOOL","Duga Brc","Rangpo Government Secondary School","SSS","State Govt.","MINING","Gangtok","West Pandam","Central Pendam","Rangpo Nagar Panchayat","Mining","Rongpo","240059","NA","rangposs@gmail.com","NA","Rural Area","801001","27663","40","0","14","Recognized","State Government","NA","Class 1","Class 12","C.B.S.E."
"East","S0928","TINY TOTS SCHOOL, RANGPO","Duga Brc","Rangpo Government Secondary School","JHS","Private (Unaided)","RANGPOO","Gangtok","West Pandam","West Pendam","Central Pendam","Karmithang","Rongpo","9933450338","NA","NA","NA","Urban Area","NA","34001.61944444444","40","2","10","Recognized","HRDD GOVT. OF SIKKIM","NA","Class 1","Class 8","NA"
"East","S0185","ZITLANG GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Rangpo Government Secondary School","JHS","State Govt.","ZITLANG BUSTY","Gangtok","West Pandam","Central Pendam","Central Pendam","Jitlang","Duga","7407382473","NA","NA","NA","Urban Area","NA","29952","54","3","3","Not Recognized","NA","NA","Class 1","Class 8","NA"
"East","S0860","EAST POINT SENIOR SECONDARY SCHOOL, SINGTAM","Duga Brc","Sumin Lingzey Government Secondary School","SSS","Private (Unaided)","SINGTAM","Gangtok","West Pandam","West Pendam","Central Pendam","Duga","Singtam","03592-233680","NA","eastpoint@gmail.com","NA","Urban Area","NA","31413.66805555555","26","1","15","Recognized","C.B.S.E","NA","Class 1","Class 12","C.B.S.E."
"East","S0243","LOWER SUMIN GOVERNMENT SECONDARY SCHOOL","Duga Brc","Sumin Lingzey Government Secondary School","SS","State Govt.","LOWER SUMIN","Gangtok","Namcheybong","Central Pendam","Sumin Lingzey","Lower Sumin","Sangkhola","NA","NA","NA","NA","Urban Area","11040802401","19391","30","12","35","Recognized","State Government HRDD","NA","Class 1","Class 10","C.B.S.E."
"East","S0205","SUMIN LINGCHEY GOVERNMENT SECONDARY SCHOOL","Duga Brc","Sumin Lingzey Government Secondary School","SS","State Govt.","LOWER LINGCHEY","Gangtok","Namcheybong","Lingzey Sumen","Sumin Lingzey","Lower Lower Linzey","Singtam","NA","NA","pradhanradha@gmail.com","NA","Urban Area","11040802501","27395","28","2","20","Recognized","State Govt.","NA","Class 1","Class 10","C.B.S.E."
"East","S0246","SUMIN MANGTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Sumin Lingzey Government Secondary School","JHS","State Govt.","MANGTHANG","Gangtok","Namcheybong","Mangthang","Sumin Lingzey","Mangthang","Sangkhola","NA","NA","NA","NA","Urban Area","11040802201","28856","28","5","36","Recognized","HRDD","NA","Class 1","Class 8","NA"
"East","S0174","UPPER LINGCHEY GOVERNMENT PRIMARY SCHOOL","Duga Brc","Sumin Lingzey Government Secondary School","PS","State Govt.","UPPER LINGCHEY","Gangtok","Namcheybong","Sumen","Sumin Lingzey","Upper Linzey","Singtam","9474057082","NA","NA","NA","Urban Area","11040802502","31048","35","5","20","Recognized","State Govt.","NA","Class 1","Class 5","C.B.S.E."
"East","S0211","UPPER SUMIN GOVERNMENT JUNIOR HIGH SCHOOL","Duga Brc","Sumin Lingzey Government Secondary School","JHS","State Govt.","UPPER SUMIN","Gangtok","Namcheybong","Sumen","Sumin Lingzey","Upper Sumin","Sangkhola","9474523040","NA","NA","NA","Urban Area","11040802301","27760","33","14","40","Recognized","State Govt.","NA","Class 1","Class 8","NA"
"East","S0494","ASSAM LINGZEY GOVERNMENT SENIOR SECONDARY SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","SSS","State Govt.","ASSAM LINGZEY","Gangtok","Namcheybong","Linzey Assam","Assam Lingzey","Linzey","Assam Lingzey","251190","NA","NA","NA","Urban Area","NA","17168","20","0","22","Recognized","State Government","NA","Class 1","Class 12","C.B.S.E."
"East","S0210","DARING LINGZEY GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","PS","State Govt.","ASSAM LINGZEY BUSTY","Gangtok","Namcheybong","Linzey Assam","Assam Lingzey","Pasting","Assam Lingzey","9474350209/9593885666","NA","NA","NA","Urban Area","NA","31048","34","6","34","Recognized","HRDD","NA","Class 1","Class 5","C.B.S.E."
"East","S0948","DE. NOBILE ACADEMY, ASSAM LINGZEY","Gangtok Brc","Assam Lingzey Government Senior Secondary School","JHS","Private (Unaided)","ASSAM LINGZEY","Pakyong","Namcheybong","Aho","Assam Lingzey","Linzey","Assam Lingzey","9647876291","NA","NA","NA","Urban Area","300102","36526.425","0","0","22","Recognized","STATE GOVT.","NA","Class 1","Class 8","NA"
"East","S0200","GAUCHARAN GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","JHS","State Govt.","ASSAM LINGZEY","Gangtok","Namcheybong","Assam And Singtam Forest Block","Assam Lingzey","Assam Gairigaon","Assam Lingzey","9832373405","NA","NA","NA","Urban Area","NA","21551","22","6","22","Recognized","Govt of sikkim HRDD","NA","Class 1","Class 8","C.B.S.E."
"East","S0956","LITTLE ANGEL ENGLISH SCHOOL, NANDOK","Gangtok Brc","Assam Lingzey Government Senior Secondary School","SSS","Private (Unaided)","NANDOK","Gangtok","Shyari","Gangtok","Gangtok","Ranipool","Ranipool","03592-251870","NA","NA","NA","Rural Area","301503","35499.60902777778","12","5","12","Recognized","H.R.D.D. GANGTOK;SIKKIM","NA","Class 1","Class 12","C.B.S.E."
"East","S0229","LOWER NANDOK GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","JHS","State Govt.","LOWER NANDOK","Gangtok","Shyari","Nandok","Naitam Nandok","Nandok","Ranipool","9593779311","NA","NA","NA","Urban Area","11040301502","30682","13","6","13","Recognized","State Government","NA","Class 1","Class 8","C.B.S.E."
"East","S0231","NANDOK GOVERNMENT SECONDARY SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","SS","State Govt.","NANDOK","Gangtok","Shyari","Gangtok","Naitam Nandok","Nandok","Ranipool","9434241242","NA","tenzingv29@yahoo.in","NA","Urban Area","11040301501","21551","17","6","15.5","Recognized","CBSE","NA","Class 1","Class 10","C.B.S.E."
"East","S1435","NEW VISION ACADEMY, CHOTA SINGTAM","Gangtok Brc","Assam Lingzey Government Senior Secondary School","PS","Private (Unaided)","CHOTA SINGTAM","Pakyong","Namcheybong","Aho","Aho Yangtam","Yangtam","Assam Lingzey","NA","NA","NA","NA","Urban Area","NA","41640.60138888889","17","7","10","Not Recognized","NA","NA","Class 1","Class 5","NA"
"East","S0233","NIMTHANG GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","PS","State Govt.","NIMTHANG","Gangtok","Shyari","Nandok","Naitam Nandok","Nimthang","Ranipool","9609737234","NA","NA","NA","Urban Area","NA","38718","18","6","18","Recognized","State Government","NA","Class 1","Class 5","C.B.S.E."
"East","S0510","PABYUIK GOVERNMENT SECONDARY SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","SS","State Govt.","PABYUIK, NAITAM","Gangtok","Shyari","Gangtok","Naitam Nandok","Pabyuk Pabyuk Bora Kagud Gumpa","Pabyuk","NA","NA","pabuik@gmail.com","NA","Urban Area","NA","21551.72638888889","20","10","25","Recognized","state govt.","NA","Class 1","Class 10","C.B.S.E."
"East","S0234","SAURANEY GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","JHS","State Govt.","ASSAM LINGZEY","Gangtok","Namcheybong","Linzey Assam","Assam Lingzey","Saureni","Assam Lingzey","9609874276","NA","NA","NA","Urban Area","300501","29952","20","5","25","Recognized","State Government","NA","Class 1","Class 8","C.B.S.E."
"East","S0945","ST. PATRICKS SCHOOL, ASSAM LINGZEY","Gangtok Brc","Assam Lingzey Government Senior Secondary School","JHS","Private (Unaided)","ASSAM LINGZEY, GAUCHARAN","Pakyong","Namcheybong","Aho","Assam Lingzey","Assam Gairigaon","Assam Lingzey","9593286443","NA","NA","NA","Urban Area","NA","32874.39583333334","26","7","29","Recognized","H.R.D.D. GOVT. OF SIKKIM","NA","Class 1","Class 8","C.B.S.E."
"East","S1472","TENDER BUDS SCHOOL","Gangtok Brc","Assam Lingzey Government Senior Secondary School","PS","Private (Unaided)","ASSAMLINGZEY","Pakyong","Namcheybong","Aho","Assam Lingzey","Linzey","Assam Lingzey","9832324305","NA","NA","NA","Urban Area","NA","40955.50138888889","20","1","20","Not Recognized","NA","NA","Class 1","Class 5","NA"
"East","S1382","NOTRE DAMME ACADEMY","Martam Brc","Biraspati Persai Government Senior Secondary School","PS","Private (Unaided)","REYKHOLA ROAD","Gangtok","Martam-rumtek","Rawate-rumtak","Rawtey Rumtek","Rawatey Neopanigaon","Rawtey Rumtek","9593780927","NA","WWW.NOTREDAMME03@YAHOO.IN","NA","Urban Area","NA","40959.61527777778","14","3","14","Recognized","HRDD GOVT OF SIKKIM","NA","Class 1","Class 5","NA"
"East","S0516","10TH MILE GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","PS","State Govt.","10TH MILE KARPONANG","Gangtok","Kabi Lungchuk","Khamdong","Gnathang","Karponang","Gnathang","9434241244","NA","NA","NA","Urban Area","NA","28126","25","22","25","Recognized","STATE GOVERNMENT","NA","Class 1","Class 5","C.B.S.E."
"East","S0237","4TH MILE GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","JHS","State Govt.","4TH MILE J.N ROAD GANGTOK EAST","Gangtok","Kabi Lungchuk","Gangtok","Gnathang","Panchmile","Raj Bhawan","9474354992","NA","NA","NA","Urban Area","NA","28491","8","8","10","Recognized","HRDD","NA","Class 1","Class 8","C.B.S.E."
"East","S0220","BHUSUK GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","JHS","State Govt.","BHUSUK","Gangtok","Shyari","Bhusuk And Syari","Naitam Nandok","Bhusuk","Bhusuk","9434137100/9046685266","NA","bistagk@gmail.com","NA","Urban Area","NA","19725","15","14","18","Recognized","Govt. of Sikkim","NA","Class 1","Class 8","C.B.S.E."
"East","S0214","CHONGAYTAR GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","PS","State Govt.","CHONGAY","Gangtok","Shyari","Rongyek","Tathangchen Syari","East Rongnek","Raj Bhawan","NA","NA","NA","NA","Urban Area","303101","33604","7","7","12","Recognized","State Govt.","NA","Class 1","Class 5","C.B.S.E."
"East","S0488","ENCHEY GOVERNMENT SENIOR SECONDARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","SSS","State Govt.","ENCHEY","Gangtok","Gangtok","Gangtok","Tathangchen Syari","Tathangchen","Raj Bhawan","202030","NA","enchygsss@rediffmail.com","NA","Urban Area","NA","3289","3","0","0","Recognized","CBSE GUWAHATI (HRDD, GOVT. OF SIKKIM)","NA","Class 1","Class 12","C.B.S.E."
"East","S0925","JUBILANT SCHOOL, CHANDMARI","Gangtok Brc","Enchey Government Senior Secondary School","JHS","Private (Unaided)","CHANDMARI","Gangtok","Gangtok","Gangtok","Gangtok","Chandmari","Raj Bhawan","3592202844","NA","NA","NA","Rural Area","NA","34700.64236111111","2","0","4","Recognized","H.R.D.D, GOVT. OF SIKKIM","NA","Class 1","Class 8","NA"
"East","S0216","MERUNG GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","PS","State Govt.","MERUNG","Gangtok","Gangtok","Rongyek","Tathangchen Syari","East Rongnek","Bhusuk","NA","NA","NA","NA","Urban Area","NA","31048","10","8","15","Recognized","Govt","NA","Class 1","Class 5","C.B.S.E."
"East","S0240","NAMONG ARITHANG GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","JHS","State Govt.","NAMOK","Gangtok","Shyari","Naitam","Naitam Nandok","Namok","Bhusuk","9475011159","NA","NA","NA","Urban Area","NA","30682","20","15","15","Recognized","State Government","NA","Class 1","Class 8","C.B.S.E."
"East","S0960","PADMA ODZER CHOELING, CHOGAY TAR","Gangtok Brc","Enchey Government Senior Secondary School","SS","Private (Unaided)","CHONGAY TAR, EAST SIKKIM","Gangtok","Shyari","Rongyek","Tathangchen Syari","East Rongnek","Raj Bhawan","9434179013","NA","padmachongay1234@gmail.com","www.hdfsikkim.org","Urban Area","NA","37717.425","10","4","7","Recognized","CBSE HRDD GOVT. OD SIKKIM","NA","Class 1","Class 10","C.B.S.E."
"East","S0193","RONGNECK GOVERNMENT JUNIOR HIGH SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","JHS","State Govt.","RONGNECK","Gangtok","Shyari","Gangtok Private Estate Arithang","Tathangchen Syari","Tathangchen","Raj Bhawan","9434863070","NA","NA","NA","Urban Area","NA","24473","1","0","2","Recognized","State Government","NA","Class 1","Class 8","C.B.S.E."
"East","S0203","THEGU GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","PS","State Govt.","THEGU","Gangtok","Gnathang-machong","Gangtok","Gnathang","Changu","Sherathang","9734197759","NA","NA","NA","Urban Area","NA","27395","38","39","39","Recognized","HRDD Govt of Sikkim","NA","Class 1","Class 5","C.B.S.E."
"East","S0927","TINY KIDS ACADEMY, CHANDMARI","Gangtok Brc","Enchey Government Senior Secondary School","JHS","Private (Unaided)","CHANDMARI","Gangtok","Shyari","Ranka","Gangtok","Chandmari","Raj Bhawan","9434380951","NA","NA","NA","Rural Area","NA","35117.61944444444","2","0","5","Recognized","HUMAN RESOURSE DEVELOPMENT DEPTT. GOVT. OF SIKKIM","NA","Class 1","Class 8","NA"
"East","S0207","YALLI GOVERNMENT PRIMARY SCHOOL","Gangtok Brc","Enchey Government Senior Secondary School","PS","State Govt.","YALLI","Gangtok","Shyari","Gangtok","Naitam Nandok","Bhusuk","Bhusuk","9593983592","NA","NA","NA","Urban Area","NA","38077","14","10","17","Recognized","HRDD","NA","Class 1","Class 5","C.B.S.E."
"East","S0257","BOJOGHARI GOVERNMENT SENIOR SECONDARY SCHOOL","Gangtok Brc","Penlong Government Secondary School","SSS","State Govt.","BOJOGHARI","Gangtok","Kabi Lungchuk","Gangtok","Gangtok","Burtuk","Bhojoghari","9474531971","NA","NA","NA","Rural Area","NA","27395","7","0","7","Recognized","Govt of sikkim HRDD","NA","Class 1","Class 12","C.B.S.E."
"East","S0895","ENLIGHTEN ACADEMY, BOJOGHARI","Gangtok Brc","Penlong Government Secondary School","JHS","Private (Unaided)","BOJOGHARI","Gangtok","Kabi Lungchuk","Gangtok","Navay Shotak","Takchi","Bhojoghari","9679008730/9734040561","NA","prabhapradhan1980@gmail.com","NA","Urban Area","305503","37301.61944444444","6","3","12","Recognized","HRDD, GOVT.OF SIKKIM","NA","Class 1","Class 8","C.B.S.E."
